RSFST18010 	 日本茶
RSFST18011 	 中国茶
RSFST18012 	 ハーブティ
RSFST18013 	 ジュース
RSFST18014 	 カフェ
RSFST19001 	 スペース
RSFST19001 	 パーティールーム
RSFST19002 	 バンケットルーム
RSFST19003 	 宴会場
RSFST19004 	 カラオケボックス
RSFST19005 	 漫画喫茶
RSFST19006 	 インターネットカフェ
RSFST19007 	 テーマパークレストラン
RSFST19008 	 アミューズメント
RSFST19009 	 クラブ
RSFST19009 	 ライブハウス
RSFST19010 	 クルージング
RSFST19011 	 屋形船
RSFST20001 	 ファミリーレストラン
RSFST20002 	 ファーストカジュアル
RSFST20003 	 ファーストフード
